ID,LastBillAmount,LatePaymentCount,LatePaymentCharges,BillMonthlyDate,AccessoriesPaid,AvgMonthlySpend,PaymentType
1001,141.43,5,35.36,3,37.22,142.44,CC
1002,124.75,7,43.67,17,14.32,125.45,CC
1003,86.49,0,0.00,17,46.91,88.45,Auto
1004,146.75,0,0.00,3,4.96,147.99,Auto
1005,144.96,0,0.00,3,0.00,144.96,Auto
1006,64.98,0,0.00,17,0.00,64.98,CC
1007,111.56,0,0.00,3,0.00,111.56,Auto
1008,124.01,1,6.21,17,13.53,125.33,CC
1009,147.58,2,14.76,3,33.86,149.45,CC
1010,105.12,2,10.52,17,24.57,105.86,CC
1011,170.40,0,0.00,3,0.00,170.40,Auto
1012,68.05,0,0.00,17,0.00,68.05,Auto
1013,41.90,0,0.00,3,33.19,43.13,Auto
1014,125.19,0,0.00,3,0.00,125.19,Auto
1015,123.52,0,0.00,17,34.07,124.45,CC
1016,142.15,0,0.00,3,59.28,143.21,Auto
1017,121.50,0,0.00,3,0.00,121.50,CC
1018,86.77,0,0.00,3,0.00,86.77,Auto
1019,144.61,8,57.85,3,57.00,145.66,CC
1020,103.96,0,0.00,3,22.66,104.49,Auto
1021,113.51,0,0.00,17,0.00,113.51,Auto
1022,173.41,0,0.00,3,0.00,173.41,Auto
1023,46.89,0,0.00,3,0.00,46.89,Auto
1024,86.27,2,8.63,17,0.00,86.45,CC
1025,46.93,1,2.35,3,43.84,49.24,CC
1026,103.55,0,0.00,17,0.00,103.55,Auto
1027,64.61,0,0.00,3,25.55,64.92,Auto
1028,87.61,5,21.91,3,0.00,87.96,CC
1029,100.76,1,5.04,3,0.00,101.06,CC
1030,172.09,0,0.00,17,15.41,174.30,CC
1031,86.96,9,39.14,3,0.00,87.30,CC
1032,113.56,3,17.04,17,40.92,114.66,CC
1033,102.21,0,0.00,17,0.00,102.21,Auto
1034,62.24,1,3.12,17,47.55,62.82,CC
1035,102.16,0,0.00,17,0.00,102.16,Auto
1036,61.65,17,52.41,17,48.46,62.69,CK
1037,142.78,3,21.42,3,0.00,143.31,CC
1038,80.01,19,76.01,17,0.00,80.71,CK
1039,147.38,7,51.59,3,0.00,147.91,CC
1040,128.76,7,45.07,3,0.00,129.84,CK
1041,107.40,0,0.00,17,6.40,107.90,Auto
1042,178.12,4,35.63,17,8.67,178.79,ACH
1043,117.63,1,5.89,17,54.10,122.63,ACH
1044,87.23,5,21.81,3,36.57,88.01,CC
1045,101.25,0,0.00,17,0.00,101.25,ACH
1046,178.11,0,0.00,3,0.00,178.11,Auto
1047,106.18,0,0.00,17,0.00,106.18,CC
1048,102.96,16,82.37,17,58.03,104.51,CK
1049,143.39,7,50.19,3,0.00,143.93,CC
1050,104.03,0,0.00,3,0.00,104.03,Auto
1051,40.60,2,4.06,3,0.00,40.72,CC
1052,100.74,0,0.00,17,0.00,100.74,Auto
1053,209.10,0,0.00,17,0.00,209.10,CC
1054,148.01,3,22.21,17,0.00,148.32,CC
1055,114.38,0,0.00,17,36.43,114.94,CC
1056,93.80,3,14.07,3,0.00,94.09,CC
1057,47.90,0,0.00,3,58.69,54.43,Auto
1058,42.70,0,0.00,17,0.00,42.70,Auto
1059,83.59,1,4.18,17,12.20,84.31,PP
1060,87.96,3,13.20,17,29.71,90.22,CK
1061,87.61,0,0.00,17,53.92,89.16,CC
1062,171.53,1,8.58,17,0.00,171.65,CC
1063,122.12,3,18.32,17,52.14,123.89,CC
1064,46.87,18,42.19,17,53.11,47.82,CK
1065,83.20,0,0.00,3,0.00,83.20,Auto
1066,69.48,0,0.00,3,0.00,69.48,Auto
1067,125.42,2,12.55,3,0.00,125.79,CC
1068,49.53,0,0.00,3,0.00,49.53,Auto
1069,80.32,0,0.00,3,0.00,80.32,CC
1070,103.50,7,36.23,3,0.00,103.88,ACH
1071,68.31,0,0.00,17,31.04,68.59,Auto
1072,61.60,0,0.00,17,2.79,61.84,Auto
1073,69.05,1,3.46,3,32.09,71.15,CC
1074,89.19,0,0.00,3,58.83,90.28,Auto
1075,109.71,0,0.00,3,0.00,109.71,CC
1076,60.50,0,0.00,3,0.00,60.50,Auto
1077,62.89,0,0.00,17,17.56,63.05,Auto
1078,122.54,3,18.39,17,0.00,123.06,CC
1079,91.50,0,0.00,3,26.23,92.35,Auto
1080,199.50,0,0.00,17,31.91,200.50,Auto
1081,107.77,0,0.00,17,27.53,108.64,Auto
1082,88.10,0,0.00,3,0.00,88.10,Auto
1083,81.32,5,20.33,17,0.55,82.02,CK
1084,61.62,0,0.00,3,0.00,61.62,Auto
1085,112.05,7,39.22,3,0.00,112.50,PP
1086,132.80,7,46.48,17,55.08,133.97,ACH
1087,80.15,2,8.02,3,0.00,80.43,CC
1088,171.19,0,0.00,17,54.64,171.85,Auto
1089,105.05,0,0.00,17,0.00,105.05,Auto
1090,128.56,7,45.00,3,0.00,129.05,CC
1091,45.15,0,0.00,3,0.00,45.15,Auto
1092,89.52,0,0.00,3,16.21,89.81,Auto
1093,106.05,0,0.00,3,0.00,106.05,Auto
1094,44.40,0,0.00,17,0.00,44.40,Auto
1095,65.48,7,22.92,3,0.00,65.75,CC
1096,89.41,0,0.00,3,0.00,89.41,Auto
1097,116.25,0,0.00,17,46.11,119.55,Auto
1098,141.85,5,35.47,3,0.00,142.41,CC
1099,100.55,0,0.00,3,10.02,100.85,Auto
1100,88.54,0,0.00,17,18.78,88.77,Auto
1101,120.77,0,0.00,3,25.16,121.11,Auto
