ID,Gender,MaritalStatus,NumChildren,EstIncome,CarOwner,Age,MonthsAsCustomer,MemberShipPlan
1001,F,Married,5,906731,N,48,72,Family Platinum
1002,F,Married,0,55364,Y,24,83,Family Military
1003,M,Single,0,25015,Y,19,24,Platinum
1004,M,Married,0,60326,Y,69,4,Family Platinum
1005,F,Married,0,651108,N,28,83,Family Platinum
1006,F,Single,1,98251,Y,20,31,Gold
1007,M,Married,0,16399,Y,28,25,Family Gold
1008,F,Married,1,25227,Y,44,15,Family Military
1009,M,Married,0,67032,N,52,26,Family Platinum
1010,M,Single,1,33632,N,23,48,Unlimited
1011,M,Married,1,71879,N,52,84,Family Gold
1012,M,Single,1,99070,N,29,70,Gold
1013,F,Single,1,79671,N,23,27,Silver
1014,F,Married,0,16453,Y,59,6,Family Military
1015,F,Married,1,47436,Y,32,37,Family Military
1016,F,Married,2,63453,Y,37,56,Family Platinum
1017,M,Married,0,26042,N,44,8,Family Military
1018,M,Single,0,78995,N,30,26,Platinum
1019,M,Married,0,77424,Y,33,110,Family Platinum
1020,M,Single,1,61805,Y,25,43,Unlimited
1021,M,Married,0,72246,Y,37,108,Family Gold
1022,M,Married,0,30339,Y,42,15,Family Unlimited
1023,F,Single,0,70141,N,29,85,Silver
1024,M,Married,0,35706,N,74,49,Family Silver
1025,F,Single,1,8360,N,24,20,Silver
1026,M,Single,1,76574,N,28,58,Unlimited
1027,M,Single,3,15051,N,48,85,Gold
1028,M,Single,0,251981,Y,85,64,Platinum
1029,M,Single,0,41046,N,19,17,Unlimited
1030,F,Married,0,19539,Y,53,7,Family Unlimited
1031,F,Married,0,97750,Y,75,117,Family Silver
1032,F,Married,2,10360,Y,37,53,Family Gold
1033,F,Single,0,35474,Y,20,5,Unlimited
1034,M,Single,1,87615,Y,29,88,Gold
1035,F,Single,0,46923,Y,28,61,Unlimited
1036,F,Single,1,16748,Y,26,97,Gold
1037,F,Married,0,823424,Y,73,41,Family Platinum
1038,F,Married,0,43485,Y,48,110,Family Silver
1039,F,Married,1,92412,Y,40,98,Family Platinum
1040,M,Married,0,1163,Y,53,42,Family Military
1041,F,Single,1,17167,Y,19,13,Unlimited
1042,F,Married,7,2219,Y,37,67,Family Unlimited
1043,M,Married,1,15900,Y,28,12,Family Gold
1044,F,Married,0,59151,N,48,75,Family Silver
1045,F,Single,1,95483,Y,27,66,Unlimited
1046,F,Married,0,24310,Y,36,111,Family Unlimited
1047,F,Single,1,22412,Y,26,103,Unlimited
1048,F,Single,1,80043,Y,56,91,Unlimited
1049,M,Married,2,52296,Y,25,94,Family Platinum
1050,M,Single,0,35828,Y,28,35,Unlimited
1051,M,Single,2,677460,Y,28,36,Silver
1052,F,Single,0,54474,Y,24,74,Unlimited
1053,F,Married,1,28210,Y,52,82,Family Platinum
1054,F,Married,2,98102,Y,38,73,Family Platinum
1055,F,Married,0,74435,N,81,66,Family Gold
1056,F,Single,1,66205,Y,24,50,Platinum
1057,M,Single,0,85498,Y,20,9,Silver
1058,F,Single,2,63637,Y,28,70,Silver
1059,M,Single,1,98621,N,20,23,Platinum
1060,M,Single,3,66833,Y,51,19,Platinum
1061,F,Married,0,22284,Y,66,35,Family Silver
1062,F,Married,1,38650,Y,34,74,Family Unlimited
1063,M,Married,0,71830,N,33,40,Family Military
1064,M,Single,1,50386,Y,28,101,Silver
1065,M,Single,0,78038,Y,23,12,Platinum
1066,M,Single,0,9753,Y,21,6,Gold
1067,M,Married,1,17777,N,49,34,Family Military
1068,F,Single,2,69440,N,26,91,Silver
1069,F,Single,2,97900,Y,20,9,Platinum
1070,M,Single,6,30864,Y,25,96,Unlimited
1071,F,Single,1,193653,Y,30,113,Gold
1072,F,Single,1,406234,Y,19,12,Gold
1073,F,Single,0,88887,Y,19,17,Gold
1074,M,Single,2,41157,Y,27,54,Platinum
1075,M,Single,0,946105,Y,20,9,Unlimited
1076,M,Single,1,98127,N,30,38,Gold
1077,F,Single,0,77390,N,29,110,Gold
1078,F,Married,0,89609,Y,33,36,Family Military
1079,F,Single,0,32754,Y,20,31,Silver
1080,M,Married,1,51947,Y,38,32,Family Platinum
1081,M,Single,2,6114,N,21,32,Unlimited
1082,M,Single,0,75907,Y,21,22,Platinum
1083,F,Single,0,24022,Y,29,30,Platinum
1084,M,Single,1,63431,N,29,50,Gold
1085,M,Married,0,38999,Y,37,89,Family Gold
1086,M,Married,0,13978,Y,64,87,Family Silver
1087,M,Single,1,50374,N,25,29,Platinum
1088,M,Married,4,753050,N,26,83,Family Unlimited
1089,M,Single,0,655641,Y,23,53,Unlimited
1090,F,Married,2,87119,Y,44,92,Family Military
1091,F,Single,1,29935,Y,30,88,Silver
1092,F,Single,1,9107,Y,22,56,Platinum
1093,M,Single,0,88212,Y,28,48,Unlimited
1094,F,Single,1,991109,N,20,16,Silver
1095,M,Single,0,75951,N,92,88,Gold
1096,F,Married,2,16509,N,45,23,Family Silver
1097,M,Married,1,41947,Y,41,14,Family Gold
1098,M,Married,0,51857,Y,34,64,Family Platinum
1099,F,Single,0,1299,Y,23,34,Unlimited
1100,F,Married,0,24063,Y,28,85,Family Silver
1101,F,Married,0,49566,Y,30,74,Family Military
1102,F,Single,0,56126,Y,30,108,Gold
1103,M,Married,0,43573,Y,65,72,Family Military
1104,F,Single,1,87466,Y,29,69,Gold
1105,F,Married,0,46499,N,37,119,Family Gold
1106,M,Married,1,80718,N,26,95,Family Platinum
1107,M,Single,0,64322,Y,23,14,Unlimited
1108,F,Single,0,46170,Y,22,1,Gold
1109,F,Single,0,26294,Y,26,16,Silver
1110,F,Single,0,23765,Y,21,29,Unlimited
1111,M,Married,0,86740,Y,67,59,Family Unlimited
1112,M,Married,0,41257,Y,54,68,Family Military
1113,M,Single,0,73488,Y,22,7,Platinum
1114,M,Married,1,13265,Y,30,4,Family Silver
1115,F,Married,1,78206,Y,32,19,Family Unlimited
1116,M,Single,0,78415,Y,18,6,Platinum
1117,M,Married,1,95639,Y,50,60,Family Military
1118,F,Single,0,91254,N,75,93,Platinum
1119,F,Single,1,63994,Y,25,48,Platinum
1120,F,Married,2,96259,Y,30,92,Family Silver
1121,F,Married,0,2523,N,43,68,Family Platinum
1122,M,Single,1,762410,N,19,23,Unlimited
1123,F,Single,0,20212,N,24,51,Unlimited
1124,F,Married,0,79654,Y,25,69,Family Silver
1125,M,Single,0,24883,Y,26,82,Platinum
1126,M,Married,0,52964,Y,54,84,Family Unlimited
1127,M,Single,0,66405,Y,20,19,Unlimited
1128,M,Single,0,61859,Y,21,19,Unlimited
1129,M,Married,0,5409,Y,44,25,Family Unlimited
1130,M,Single,2,73741,Y,30,120,Platinum
1131,F,Single,1,10924,Y,18,3,Gold
1132,F,Married,1,10922,Y,27,42,Family Unlimited
1133,F,Married,1,71625,N,52,2,Family Platinum
1134,N,Married,0,4327,Y,49,116,Family Silver
1135,F,Single,1,18526,N,29,115,Gold
1136,F,Single,1,7884,N,23,8,Silver
1137,M,Single,2,54442,Y,27,8,Gold
1138,F,Single,0,73547,N,29,108,Unlimited
1139,M,Single,2,15448,Y,20,13,Unlimited
1140,F,Single,0,10467,Y,29,12,Platinum
1141,M,Married,0,908439,Y,30,106,Family Military
1142,M,Single,0,1101,Y,29,23,Platinum
1143,M,Married,1,94266,Y,69,23,Family Silver
1144,M,Single,1,489227,N,23,42,Silver
1145,F,Single,0,49982,Y,28,53,Unlimited
1146,M,Married,1,92740,Y,43,80,Family Silver
1147,F,Married,0,29105,Y,85,113,Family Silver
1148,F,Married,0,84158,Y,61,22,Family Unlimited
1149,M,Single,1,25572,N,22,1,Silver
1150,M,Single,0,147052,Y,21,13,Silver
1151,F,Married,0,91868,Y,27,39,Family Military
1152,F,Single,1,99477,N,21,9,Platinum
1153,F,Married,0,841223,Y,50,13,Family Gold
1154,F,Married,1,50747,N,26,55,Family Silver
1155,M,Married,2,71334,Y,50,50,Family Gold
1156,F,Married,1,2519,Y,26,50,Family Unlimited
1157,B,Married,0,25146,Y,43,78,Family Unlimited
1158,B,Married,0,29644,Y,25,11,Family Gold
1159,M,Married,0,45793,N,25,56,Family Silver
1160,M,Married,1,12634,Y,46,68,Family Silver
1161,M,Single,0,6909,Y,23,42,Platinum
1162,M,Married,0,92965,Y,35,71,Family Gold
1163,M,Married,1,689,Y,29,112,Family Silver
1164,F,Married,8,313893,Y,26,50,Family Military
1165,M,Single,0,8717,Y,24,54,Gold
1166,M,Single,0,68312,N,21,7,Unlimited
1167,F,Single,1,339556,Y,22,50,Unlimited
1168,M,Married,5,11027,Y,43,42,Family Platinum
1169,F,Married,8,44796,Y,35,2,Family Platinum
1170,F,Single,0,47155,Y,36,81,Platinum
1171,F,Married,0,3429,N,32,85,Family Silver
1172,F,Married,0,53137,Y,84,78,Family Gold
1173,M,Single,1,18619,Y,28,5,Gold
1174,M,Married,0,95090,Y,28,40,Family Military
1175,M,Single,0,6899,Y,18,8,Gold
1176,F,Married,2,96033,N,45,73,Family Gold
1177,M,Married,2,43189,Y,42,51,Family Unlimited
1178,M,Single,0,65422,Y,25,37,Unlimited
1179,M,Married,0,61236,Y,27,58,Family Unlimited
1180,M,Single,0,75847,Y,25,35,Gold
1181,F,Married,0,77826,N,50,9,Family Platinum
1182,F,Single,1,16208,Y,27,78,Unlimited
1183,F,Single,1,81888,Y,24,38,Silver
1184,F,Married,0,6884,N,33,72,Family Unlimited
1185,M,Single,0,80579,Y,100,108,Gold
1186,F,Married,1,91228,Y,31,68,Family Silver
1187,M,Single,2,99453,Y,30,88,Unlimited
1188,F,Single,1,25857,Y,28,17,Silver
1189,F,Single,0,31435,Y,22,27,Unlimited
1190,F,Single,2,7293,Y,28,62,Silver
1191,F,Single,7,8433,Y,30,23,Gold
1192,M,Married,0,44015,Y,38,14,Family Platinum
1193,M,Married,0,11467,Y,49,46,Family Platinum
1194,F,Single,0,63613,Y,18,3,Gold
1195,F,Married,0,490022,Y,24,5,Family Gold
1196,M,Married,2,90082,Y,37,36,Family Platinum
1197,M,Married,0,48032,Y,38,26,Family Military
1198,M,Married,0,22718,N,26,36,Family Military
1199,M,Married,0,3922,Y,49,84,Family Platinum
1200,F,Married,2,78311,N,24,55,Family Gold
1201,F,Single,1,51995,Y,23,18,Silver
1202,M,Single,0,28558,Y,23,69,Unlimited
1203,F,Married,0,23310,N,43,102,Family Military
1204,F,Single,0,887183,N,67,6,Unlimited
1205,M,Married,2,46225,Y,30,115,Family Silver
1206,M,Married,1,24303,Y,33,116,Family Unlimited
1207,F,Single,1,10341,Y,24,39,Silver
1208,F,Married,1,160378,N,34,64,Family Platinum
1209,M,Married,0,170835,Y,30,35,Family Platinum
1210,M,Married,0,50073,Y,26,87,Family Platinum
1211,F,Married,4,5732,Y,41,44,Family Platinum
1212,M,Single,1,73526,N,29,93,Unlimited
1213,M,Married,0,7698,N,27,38,Family Military
1214,M,Single,0,28182,Y,21,10,Gold
1215,M,Married,1,7118,Y,51,113,Family Military
1216,M,Married,0,63418,Y,33,8,Family Unlimited
1217,M,Single,1,97899,Y,23,35,Unlimited
1218,M,Married,0,240524,Y,49,48,Family Gold
1219,F,Single,2,38962,Y,26,57,Unlimited
1220,M,Married,2,47903,Y,42,91,Family Unlimited
1221,F,Single,0,85868,Y,28,8,Silver
1222,F,Married,0,97618,Y,54,14,Family Gold
1223,M,Single,0,103694,Y,26,90,Platinum
1224,M,Single,0,76954,N,26,17,Unlimited
1225,M,Married,0,81158,Y,28,27,Family Gold
1226,M,Single,0,8761,Y,22,48,Platinum
1227,F,Single,1,99483,Y,25,34,Silver
1228,M,Single,0,64739,Y,23,17,Gold
1229,F,Married,1,74408,Y,36,78,Family Silver
