ID,DroppedCalls,SupportCallsYear,SupportCallsMonth,ComplaintsYear,ComplaintsMonth
1001,0,8,1,0,0
1002,2,0,0,2,1
1003,3,0,0,2,0
1004,4,2,2,8,4
1005,0,0,0,1,0
1006,3,1,1,0,0
1007,1,0,0,2,1
1008,3,0,0,0,0
1009,0,2,2,0,0
1010,3,0,0,3,2
1011,0,0,0,0,0
1012,1,2,2,0,0
1013,2,21,3,3,2
1014,0,3,3,2,1
1015,0,2,0,0,0
1016,0,0,0,0,0
1017,0,0,0,0,0
1018,5,0,0,5,3
1019,3,0,0,2,1
1020,1,2,0,0,0
1021,0,1,0,0,0
1022,2,10,4,2,1
1023,0,2,2,0,0
1024,0,2,2,0,0
1025,1,4,0,2,1
1026,0,2,0,0,0
1027,0,4,4,2,1
1028,0,0,0,2,1
1029,2,0,0,0,0
1030,3,0,0,2,1
1031,5,3,0,4,2
1032,0,0,0,2,1
1033,3,0,0,3,2
1034,0,42,6,0,0
1035,4,4,4,6,3
1036,0,2,2,0,0
1037,0,0,0,0,0
1038,0,2,2,0,0
1039,2,0,0,0,0
1040,3,4,4,2,1
1041,3,3,3,2,1
1042,0,0,0,0,0
1043,1,0,0,0,0
1044,1,1,0,2,1
1045,1,12,2,0,0
1046,3,0,0,2,1
1047,4,21,4,4,2
1048,5,21,5,2,1
1049,0,0,0,0,0
1050,3,1,0,3,2
1051,2,2,2,2,1
1052,3,1,1,3,2
1053,2,0,0,2,1
1054,0,0,0,0,0
1055,0,1,1,0,0
1056,0,4,4,0,0
1057,3,0,0,4,2
1058,3,21,4,2,1
1059,0,0,0,0,0
1060,0,6,6,0,0
1061,0,1,1,2,1
1062,4,0,0,7,4
1063,0,0,0,0,0
1064,0,4,4,0,0
1065,1,4,0,0,0
1066,5,1,1,2,1
1067,2,0,0,2,1
1068,2,0,0,2,1
1069,0,3,3,2,0
1070,5,0,0,4,3
1071,3,1,1,2,1
1072,0,1,1,0,0
1073,0,27,4,2,0
1074,3,3,0,0,0
1075,0,0,0,0,0
1076,4,0,0,2,1
1077,2,2,2,2,1
1078,1,0,0,1,0
1079,5,1,0,3,2
1080,3,0,0,4,2
1081,5,0,0,3,2
1082,3,0,0,2,1
1083,0,14,4,0,0
1084,3,21,4,2,1
1085,4,3,0,6,3
1086,0,3,3,1,0
1087,1,0,0,0,0
1088,5,3,0,3,2
1089,4,0,0,2,1
1090,0,0,0,0,0
1091,0,36,4,0,0
1092,0,0,0,2,1
1093,4,0,0,2,1
1094,0,0,0,0,0
1095,0,5,5,1,0
1096,0,0,0,2,1
1097,0,0,0,0,0
1098,3,0,0,4,2
1099,5,0,0,5,3
1100,0,0,0,2,1
1101,0,0,0,1,0
1102,3,3,3,0,0
1103,1,2,2,0,0
1104,0,4,0,0,0
1105,0,2,0,2,1
1106,0,2,0,0,0
1107,3,0,0,2,1
1108,0,0,0,2,0
1109,4,12,5,6,4
1110,0,5,1,0,0
1111,0,18,2,0,0
1112,0,0,0,0,0
1113,1,0,0,0,0
1114,0,0,0,0,0
1115,5,17,4,2,1
1116,2,0,0,3,2
1117,0,0,0,0,0
1118,1,14,4,0,0
1119,2,1,1,0,0
1120,0,0,0,0,0
1121,2,4,0,2,1
1122,5,0,0,5,4
1123,3,1,0,4,2
1124,2,0,0,2,1
1125,0,0,0,2,1
1126,1,7,1,2,1
1127,3,7,2,2,1
1128,2,2,0,4,2
1129,0,10,3,0,0
1130,1,2,2,0,0
1131,0,2,2,2,1
1132,4,10,2,4,2
1133,0,0,0,1,0
1134,0,0,0,2,0
1135,3,4,4,0,0
1136,1,1,1,0,0
1137,0,21,8,0,0
1138,1,0,0,0,0
1139,4,0,0,4,3
1140,2,4,4,2,1
1141,0,0,0,0,0
1142,4,2,0,5,4
1143,2,20,2,2,1
1144,5,26,8,2,1
1145,3,12,4,0,0
1146,3,0,0,0,0
1147,2,10,1,2,1
1148,2,1,1,3,2
1149,4,4,0,2,1
1150,2,6,6,4,2
1151,0,3,0,0,0
1152,0,28,4,0,0
1153,3,4,0,0,0
1154,0,4,4,0,0
1155,1,0,0,0,0
1156,1,0,0,0,0
1157,1,2,2,2,1
1158,1,0,0,0,0
1159,3,0,0,2,1
1160,3,1,0,0,0
1161,0,0,0,0,0
1162,0,17,2,0,0
1163,0,0,0,0,0
1164,2,0,0,4,2
1165,0,5,5,2,1
1166,0,0,0,0,0
1167,0,12,2,0,0
1168,0,0,0,0,0
1169,2,5,5,2,1
1170,5,2,2,2,1
1171,1,2,2,0,0
1172,0,1,1,0,0
1173,2,8,8,2,1
1174,1,4,4,2,1
1175,0,10,1,2,1
1176,0,0,0,2,1
1177,2,4,0,2,1
1178,3,3,0,4,2
1179,1,0,0,0,0
1180,2,19,4,2,1
1181,0,3,0,0,0
1182,0,19,2,0,0
1183,3,1,1,0,0
1184,5,0,0,8,4
1185,0,7,2,0,0
1186,2,3,0,2,1
1187,4,0,0,2,1
1188,5,39,4,6,3
1189,0,0,0,2,1
1190,5,1,0,3,2
1191,3,1,1,2,1
1192,0,0,0,0,0
1193,1,0,0,0,0
1194,0,7,2,0,0
1195,0,0,0,0,0
1196,2,0,0,2,1
1197,1,0,0,0,0
1198,0,0,0,2,1
1199,0,2,0,0,0
1200,2,0,0,4,2
1201,1,3,3,0,0
1202,3,0,0,4,2
1203,0,1,0,2,1
1204,4,19,3,4,2
1205,0,0,0,0,0
1206,3,2,2,3,2
1207,0,13,3,0,0
1208,0,8,2,0,0
1209,5,3,0,5,3
1210,1,2,0,0,0
1211,0,0,0,0,0
1212,3,0,0,2,1
1213,3,0,0,2,1
1214,2,54,6,2,1
1215,1,0,0,2,1
1216,0,19,2,0,0
1217,3,0,0,1,0
1218,0,0,0,0,0
1219,1,4,0,2,1
1220,3,1,0,2,1
1221,2,9,2,2,1
1222,4,4,4,2,1
1223,1,0,0,2,1
1224,5,1,1,2,1
1225,0,22,4,0,0
1226,3,0,0,3,2
1227,0,0,0,1,0
1228,0,33,5,0,0
1229,0,4,0,2,1
1230,3,3,3,2,1
1231,0,0,0,0,0
1232,0,3,0,0,0
1233,0,19,2,2,1
1234,0,2,2,0,0
1235,0,5,5,2,1
1236,0,3,3,0,0
1237,4,0,0,5,4
1238,0,20,2,2,1
1239,4,0,0,2,1
1240,3,0,0,2,1
1241,0,0,0,2,0
1242,2,0,0,3,2
1243,1,5,5,2,1
1244,0,2,2,0,0
1245,1,3,3,0,0
1246,0,0,0,0,0
1247,1,0,0,0,0
1248,0,0,0,0,0
1249,1,6,6,0,0
1250,0,20,3,0,0
1251,0,1,1,0,0
1252,5,3,0,2,1
1253,2,0,0,4,2
1254,0,4,0,1,0
1255,2,0,0,2,1
1256,0,0,0,2,1
1257,1,19,3,0,0
1258,5,3,0,2,1
1259,4,13,4,5,3
1260,1,2,0,0,0
1261,2,0,0,2,1
1262,4,4,4,5,3
1263,2,11,3,2,1
1264,0,0,0,0,0
1265,4,0,0,6,4
1266,2,4,4,0,0
1267,3,0,0,2,1
1268,5,3,0,4,2
1269,3,1,1,4,2
1270,5,2,0,2,1
1271,2,1,1,0,0
1272,0,55,6,0,0
1273,0,7,1,2,1
1274,0,1,1,0,0
1275,5,3,3,2,1
1276,1,2,2,0,0
1277,0,4,4,2,0
1278,1,4,0,0,0
1279,1,20,4,2,1
1280,1,31,5,2,1
1281,2,2,0,4,2
1282,3,1,1,0,0
1283,4,0,0,2,1
1284,0,0,0,0,0
1285,4,2,2,8,4
1286,0,3,0,2,0
1287,0,3,0,0,0
1288,0,27,3,2,1
1289,0,1,1,0,0
1290,0,1,1,2,1
1291,1,2,2,0,0
1292,3,0,0,0,0
1293,0,0,0,2,1
1294,1,1,1,0,0
1295,0,0,0,2,1
1296,3,0,0,4,2
1297,2,5,5,4,2
1298,3,1,1,0,0
1299,1,2,0,1,0
1300,0,4,4,2,1
1301,0,17,2,0,0
1302,4,4,4,3,2
1303,0,9,1,0,0
1304,2,2,0,0,0
1305,0,1,1,0,0
1306,1,0,0,0,0
1307,1,0,0,2,1
1308,1,3,3,2,1
1309,2,1,1,2,1
1310,5,21,4,3,2
1311,0,2,2,2,1
1312,0,2,2,0,0
1313,0,0,0,0,0
1314,0,6,6,0,0
1315,1,0,0,0,0
1316,0,4,0,2,1
1317,2,0,0,3,2
1318,1,8,3,0,0
1319,5,3,3,9,5
1320,0,0,0,0,0
1321,5,22,5,2,1
1322,4,2,2,4,2
1323,0,22,2,2,1
1324,1,0,0,0,0
1325,1,0,0,0,0
1326,3,6,1,2,1
1327,0,32,6,0,0
1328,2,0,0,2,1
1329,0,0,0,2,1
1330,0,7,1,0,0
1331,0,16,5,2,1
1332,1,1,0,0,0
1333,0,7,3,1,0
1334,5,0,0,2,1
1335,3,0,0,3,2
1336,1,0,0,1,0
1337,1,6,2,0,0
1338,0,16,5,2,0
1339,2,0,0,0,0
1340,3,3,0,3,2
1341,0,4,4,0,0
1342,0,27,7,0,0
1343,0,1,0,0,0
1344,1,41,8,0,0
1345,3,12,2,3,2
1346,5,3,3,2,1
1347,1,0,0,2,1
1348,0,5,5,2,1
1349,0,10,6,2,1
1350,1,25,4,2,1
1351,3,1,0,2,0
1352,0,0,0,0,0
1353,0,3,0,2,1
1354,3,7,1,0,0
1355,0,0,0,0,0
