"Age","CarOwner","EstIncome","Gender","ID","MaritalStatus","MemberShipPlan","MonthsAsCustomer","NumChildren","AccessoriesPaid","AvgMonthlySpend","BillMonthlyDate","LastBillAmount","LatePaymentCharges","LatePaymentCount","PaymentType","DroppedCalls","SupportCallsYear","SupportCallsMonth","ComplaintsYear","ComplaintsMonth","CHURN"
"76","Y","35270","M","10001","Single","Gold","64","0","0.00","67.45","3","66.87","36.78","11","CK","0","11","2","0","0","T"
"19","Y","25015","M","1003","Single","Platinum","24","0","46.91","88.45","17","86.49","0.00","0","Auto","3","0","0","2","0","F"
"18","N","42523","M","10047","Single","Platinum","3","0","27.28","97.28","3","88.18","0.00","0","CC","0","0","0","0","0","F"
"24","Y","823839","F","10096","Single","Platinum","67","2","27.47","82.81","17","82.40","0.00","0","CC","0","1","1","2","1","F"
"30","N","78995","M","1018","Single","Platinum","26","0","0.00","86.77","3","86.77","0.00","0","Auto","5","0","0","5","3","T"
"29","Y","21791","F","10192","Single","Unlimited","48","1","0.00","107.65","17","106.76","42.71","8","CK","2","14","2","3","2","T"
"24","N","35585","F","10216","Single","Platinum","38","0","0.00","82.02","17","81.91","4.10","1","CC","2","18","2","2","1","T"
"51","N","72610","M","10234","Married","Family Gold","39","4","0.00","110.60","17","110.17","16.53","3","CC","0","0","0","0","0","F"
"27","N","18385","F","10265","Single","Platinum","106","0","0.00","83.97","17","83.97","0.00","0","Auto","0","20","4","2","1","T"
"19","N","41046","M","1029","Single","Unlimited","17","0","0.00","101.06","3","100.76","5.04","1","CC","2","0","0","0","0","F"
"38","Y","82275","F","10301","Married","Family Military","1","1","25.13","151.23","17","126.10","0.00","0","CK","0","5","5","0","0","F"
"20","N","37633","M","10349","Single","Gold","16","2","1.08","65.69","17","65.62","0.00","0","Auto","5","3","3","4","2","T"
"26","Y","76873","M","10430","Single","Silver","39","0","0.00","47.47","3","47.47","0.00","0","Auto","2","5","5","4","2","T"
"42","N","15452","F","10436","Married","Family Unlimited","56","1","0.00","176.44","17","176.28","8.82","1","ACH","4","0","0","2","1","F"
"40","Y","23220","F","10454","Married","Family Silver","47","0","48.48","87.42","3","86.38","0.00","0","Auto","0","4","0","2","1","F"
"29","Y","70863","M","10518","Single","Gold","22","1","31.05","71.08","3","69.19","10.38","3","CK","3","19","4","3","2","T"
"21","Y","957","F","10535","Single","Silver","2","1","0.00","46.99","3","46.99","0.00","0","Auto","0","0","0","0","0","F"
"28","Y","34586","M","10588","Single","Platinum","59","0","0.00","88.64","3","87.89","43.95","10","CK","3","15","5","2","1","T"
"40","N","76469","M","10608","Married","Family Platinum","65","1","19.23","176.07","3","175.10","43.78","5","CC","2","2","0","2","1","F"
"30","Y","90152","F","10629","Single","Platinum","115","0","0.00","82.36","3","82.03","36.92","9","CC","1","10","4","0","0","F"
"28","Y","50386","M","1064","Single","Silver","101","1","53.11","47.82","17","46.87","42.19","18","CK","0","4","4","0","0","F"
"28","Y","56380","M","10658","Single","Gold","58","0","12.90","63.72","3","63.27","12.66","4","ACH","0","36","6","0","0","T"
"24","Y","69055","F","10663","Single","Unlimited","27","0","8.31","107.09","17","106.78","0.00","0","Auto","5","3","3","9","5","T"
"19","Y","21819","M","10669","Single","Unlimited","2","0","37.10","121.06","17","102.51","0.00","0","Auto","2","2","0","2","1","F"
"26","Y","9297","M","10690","Married","Family Platinum","52","2","42.56","146.56","3","145.74","0.00","0","Auto","1","0","0","0","0","F"
"25","Y","30864","M","1070","Single","Unlimited","96","6","0.00","103.88","3","103.50","36.23","7","ACH","5","0","0","4","3","F"
"54","Y","10492","F","10738","Married","Family Platinum","32","0","41.03","145.51","3","143.77","14.38","2","CC","4","3","0","2","1","F"
"19","N","7151","F","10752","Single","Unlimited","24","0","0.00","102.13","17","101.91","5.10","1","PP","5","3","0","6","4","T"
"25","Y","3423","F","10768","Single","Silver","15","0","0.00","93.31","3","93.00","4.65","1","CC","0","4","4","0","0","F"
"30","Y","36482","F","10804","Single","Silver","52","1","0.00","44.76","3","44.76","0.00","0","Auto","5","1","1","4","2","T"
"18","N","26886","M","10812","Single","Gold","3","1","48.02","84.89","3","68.88","0.00","0","Auto","1","2","0","0","0","F"
"44","Y","87119","F","1090","Married","Family Military","92","2","0.00","129.05","3","128.56","45.00","7","CC","0","0","0","0","0","F"
"27","N","98656","M","10930","Married","Family Platinum","52","0","54.95","143.05","17","141.72","14.18","2","ACH","0","0","0","0","0","F"
"31","Y","61839","F","10949","Married","Family Unlimited","69","2","21.54","174.74","17","174.42","0.00","0","Auto","1","0","0","0","0","F"
"27","Y","8037","M","10965","Married","Family Silver","92","1","1.39","85.71","17","85.55","12.84","3","CC","1","0","0","0","0","F"
"47","Y","91820","F","11001","Married","Family Gold","13","0","0.00","114.64","17","113.76","11.38","2","CK","2","19","4","2","1","T"
"30","Y","56126","F","1102","Single","Gold","108","0","0.00","61.23","17","61.23","0.00","0","Auto","3","3","3","0","0","F"
"37","Y","85456","M","11026","Married","Family Platinum","83","1","0.00","144.62","3","144.62","0.00","0","Auto","3","0","0","2","1","T"
"34","N","440439","M","11048","Single","Gold","55","1","45.20","65.25","3","64.19","12.84","4","CC","3","53","5","2","1","T"
"28","Y","12252","M","11072","Single","Platinum","15","2","0.00","86.54","3","86.25","4.32","1","CC","3","4","0","2","1","F"
"26","Y","89897","M","11144","Married","Family Unlimited","3","0","0.00","178.52","17","178.52","0.00","0","CK","0","13","3","0","0","T"
"36","Y","75600","F","11187","Married","Family Military","43","2","0.00","128.20","3","128.20","0.00","0","Auto","2","0","0","4","2","T"
"44","Y","73545","M","11200","Married","Family Silver","105","1","0.00","89.86","3","89.86","0.00","0","Auto","3","4","0","2","1","T"
"87","Y","35271","F","11227","Single","Platinum","79","0","0.00","85.94","3","85.61","25.69","6","CC","3","1","1","2","1","F"
"19","Y","48542","M","11266","Single","Gold","9","0","13.90","68.51","3","66.96","0.00","0","PP","1","18","5","0","0","T"
"29","N","61238","F","11267","Single","Silver","30","2","0.00","44.17","3","44.17","0.00","0","Auto","1","2","2","2","1","F"
"23","Y","28257","M","11271","Single","Unlimited","51","0","0.00","108.48","3","108.05","21.61","4","CC","0","0","0","2","1","F"
"30","Y","63346","F","11284","Single","Unlimited","83","0","56.04","104.07","3","103.02","30.91","6","CC","3","4","4","2","1","T"
"49","Y","4327","N","1134","Married","Family Silver","116","0","38.94","86.38","3","86.04","0.00","0","Auto","0","0","0","2","0","F"
"29","N","18526","F","1135","Single","Gold","115","1","56.53","67.11","3","66.61","0.00","0","Auto","3","4","4","0","0","F"
"18","Y","3221","M","11390","Single","Silver","5","2","0.00","45.47","17","45.47","0.00","0","PP","0","57","8","0","0","T"
"29","Y","72716","F","11391","Married","Family Unlimited","24","0","0.00","174.18","3","173.81","8.70","1","CC","1","4","4","0","0","F"
"37","Y","56529","M","11401","Married","Family Military","36","0","47.19","121.87","17","120.39","6.02","1","CC","3","0","0","4","2","T"
"26","N","72207","M","11415","Single","Gold","23","1","0.00","67.14","3","67.14","0.00","0","Auto","2","37","8","2","1","T"
